Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1991","1991","7021","Annual value","LCU","167","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1992","1992","7021","Annual value","LCU","130","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1993","1993","7021","Annual value","LCU","176","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1994","1994","7021","Annual value","LCU","149","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1995","1995","7021","Annual value","LCU","202","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1996","1996","7021","Annual value","LCU","212","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1997","1997","7021","Annual value","LCU","221","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1998","1998","7021","Annual value","LCU","196","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","1999","1999","7021","Annual value","LCU","131","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2000","2000","7021","Annual value","LCU","124","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2001","2001","7021","Annual value","LCU","94","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2002","2002","7021","Annual value","LCU","99","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2003","2003","7021","Annual value","LCU","178","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2004","2004","7021","Annual value","LCU","162","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2005","2005","7021","Annual value","LCU","169","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2006","2006","7021","Annual value","LCU","220","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2007","2007","7021","Annual value","LCU","282","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2008","2008","7021","Annual value","LCU","370","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2009","2009","7021","Annual value","LCU","317","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7021","Annual value","LCU","280","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7001","January","LCU","331","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7002","February","LCU","326","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7003","March","LCU","315","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7004","April","LCU","315","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7005","May","LCU","304","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7006","June","LCU","291","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7007","July","LCU","278","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7008","August","LCU","256","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7009","September","LCU","245","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7010","October","LCU","247","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7011","November","LCU","262","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2010","2010","7012","December","LCU","282","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7021","Annual value","LCU","320","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7001","January","LCU","309","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7002","February","LCU","295","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7003","March","LCU","287","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7004","April","LCU","289","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7005","May","LCU","280","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7006","June","LCU","267","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7007","July","LCU","284","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7008","August","LCU","300","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7009","September","LCU","317","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7010","October","LCU","320","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7011","November","LCU","320","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2011","2011","7012","December","LCU","313","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7021","Annual value","LCU","333","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7001","January","LCU","335","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7002","February","LCU","311","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7003","March","LCU","311","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7004","April","LCU","317","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7005","May","LCU","311","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7006","June","LCU","313","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7007","July","LCU","317","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7008","August","LCU","322","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7009","September","LCU","315","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7010","October","LCU","313","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7011","November","LCU","317","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2012","2012","7012","December","LCU","322","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7021","Annual value","LCU","359","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7001","January","LCU","337","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7002","February","LCU","331","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7003","March","LCU","335","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7004","April","LCU","340","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7005","May","LCU","342","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7006","June","LCU","342","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7007","July","LCU","344","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7008","August","LCU","348","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7009","September","LCU","344","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7010","October","LCU","340","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7011","November","LCU","340","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2013","2013","7012","December","LCU","342","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7021","Annual value","LCU","295","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7001","January","LCU","377","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7002","February","LCU","368","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7003","March","LCU","362","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7004","April","LCU","357","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7005","May","LCU","357","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7006","June","LCU","359","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7007","July","LCU","355","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7008","August","LCU","344","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7009","September","LCU","320","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7010","October","LCU","309","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7011","November","LCU","317","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2014","2014","7012","December","LCU","295","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7021","Annual value","LCU","269","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7001","January","LCU","333","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7002","February","LCU","282","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7003","March","LCU","278","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7004","April","LCU","278","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7005","May","LCU","276","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7006","June","LCU","265","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7007","July","LCU","256","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7008","August","LCU","265","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7009","September","LCU","262","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7010","October","LCU","271","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7011","November","LCU","271","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2015","2015","7012","December","LCU","282","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7021","Annual value","LCU","229","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7001","January","LCU","293","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7002","February","LCU","267","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7003","March","LCU","260","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7004","April","LCU","254","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7005","May","LCU","258","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7006","June","LCU","258","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7007","July","LCU","267","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7008","August","LCU","260","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7009","September","LCU","236","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7010","October","LCU","227","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7011","November","LCU","227","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2016","2016","7012","December","LCU","227","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7021","Annual value","LCU","284","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7001","January","LCU","240","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7002","February","LCU","223","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7003","March","LCU","223","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7004","April","LCU","223","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7005","May","LCU","225","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7006","June","LCU","225","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7007","July","LCU","238","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7008","August","LCU","249","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7009","September","LCU","256","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7010","October","LCU","262","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7011","November","LCU","282","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2017","2017","7012","December","LCU","271","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2018","2018","7021","Annual value","LCU","278","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2018","2018","7001","January","LCU","282","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7021","Annual value","LCU","287","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7001","January","LCU","266","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7002","February","LCU","244","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7003","March","LCU","234","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7004","April","LCU","236","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7005","May","LCU","234","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7006","June","LCU","240","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7007","July","LCU","254","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7008","August","LCU","250","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7009","September","LCU","240","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7010","October","LCU","244","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7011","November","LCU","254","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2019","2019","7012","December","LCU","246","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7021","Annual value","LCU","295","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7001","January","LCU","311","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7002","February","LCU","302","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7003","March","LCU","304","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7004","April","LCU","311","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7005","May","LCU","320","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7006","June","LCU","328","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7007","July","LCU","324","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7008","August","LCU","348","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7009","September","LCU","302","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7010","October","LCU","289","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7011","November","LCU","295","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","27","Rice, paddy","2020","2020","7012","December","LCU","298","","Official data"
